"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","Dynamic Parameters","0"
"0","Week 6: Unit Testing","0","Allure Steps","1","0","Context Manager Steps","0"
"0","","0","","9","0","Parameterized Tests","0"
"0","E-Commerce Platform","0","User Authentication","1","0","Login","0"
"0","Week 6: Unit Testing","0","Allure Reporting","3","0","Severity Levels","0"
"0","","0","","1","0","Step Functions","0"
"0","Week 6: Unit Testing","0","Allure Reporting","1","0","Basic Decorators","0"
"0","","0","","0","2","Skip Examples","0"
"0","Week 6: Unit Testing","0","Calculator","2","0","Basic Operations","0"
"0","","0","","2","0","External Links","0"
"0","Week 6: Unit Testing","0","Calculator","1","0","Edge Cases","0"
"0","","0","","2","0","Attachments","0"
"0","","0","","1","0","Fixtures with Allure","0"
"0","","0","","1","0","Dynamic Metadata","0"
"0","","0","","1","0","Context Manager Steps","0"
"0","","0","","1","0","Nested Steps","0"
